epoch,loss
1,0.7995392084121704
2,0.547534167766571
3,0.5657762885093689
4,0.547542929649353
5,0.5475356578826904
6,0.5475330352783203
7,0.5475314259529114
8,0.5475303530693054
9,0.5475290417671204
10,0.5475283861160278
11,0.547527551651001
12,0.5475272536277771
13,0.547527015209198
14,0.5475267767906189
15,0.5475265383720398
16,0.5475262403488159
17,0.5475258827209473
18,0.5475255250930786
19,0.5475251078605652
20,0.5475245118141174
21,0.5475236177444458
22,0.5475234985351562
23,0.5475233793258667
24,0.5475233197212219
25,0.5475232005119324
26,0.5475230813026428
27,0.5475229620933533
28,0.5475228428840637
29,0.5475227236747742
30,0.5475226044654846
31,0.5475224852561951
32,0.5475224852561951
33,0.5475224256515503
34,0.5475224256515503
35,0.5475223660469055
36,0.5475223660469055
37,0.5475223660469055
38,0.5475223660469055
39,0.5475223064422607
40,0.5475223064422607
41,0.5475223660469055
42,0.5475223064422607
43,0.5475223064422607
44,0.5475223064422607
45,0.5475223064422607
46,0.5475223064422607
47,0.5475223064422607
48,0.5475223064422607
49,0.5475223064422607
50,0.5475223064422607
